,model,model__activation,model__alpha,model__hidden_layer_sizes,model__learning_rate,model__max_iter,model__solver,mse,rmse,mae,r2
23,"MLPRegressor(activation='tanh', alpha=0.01, hidden_layer_sizes=(100, 50),
             learning_rate='adaptive', max_iter=500, random_state=42)",relu,0.01,"(100, 50)",adaptive,500,adam,1380.7429641051244,37.15834985713338,10.33510782186815,0.9939600138542428
22,"MLPRegressor(activation='tanh', alpha=0.01, hidden_layer_sizes=(100, 50),
             learning_rate='adaptive', max_iter=500, random_state=42)",relu,0.01,"(100, 50)",constant,500,adam,1380.7429641051244,37.15834985713338,10.33510782186815,0.9939600138542428
15,"MLPRegressor(activation='tanh', alpha=0.01, hidden_layer_sizes=(100, 50),
             learning_rate='adaptive', max_iter=500, random_state=42)",relu,0.001,"(100, 50)",adaptive,500,adam,1469.0299635572228,38.3279266796056,10.040025426547441,0.9935738071036716
14,"MLPRegressor(activation='tanh', alpha=0.01, hidden_layer_sizes=(100, 50),
             learning_rate='adaptive', max_iter=500, random_state=42)",relu,0.001,"(100, 50)",constant,500,adam,1469.0299635572228,38.3279266796056,10.040025426547441,0.9935738071036716
6,"MLPRegressor(activation='tanh', alpha=0.01, hidden_layer_sizes=(100, 50),
             learning_rate='adaptive', max_iter=500, random_state=42)",relu,0.0001,"(100, 50)",constant,500,adam,1507.0697589047504,38.820996366718234,10.006016222801195,0.9934074040562837
7,"MLPRegressor(activation='tanh', alpha=0.01, hidden_layer_sizes=(100, 50),
             learning_rate='adaptive', max_iter=500, random_state=42)",relu,0.0001,"(100, 50)",adaptive,500,adam,1507.0697589047504,38.820996366718234,10.006016222801195,0.9934074040562837
4,"MLPRegressor(activation='tanh', alpha=0.01, hidden_layer_sizes=(100, 50),
             learning_rate='adaptive', max_iter=500, random_state=42)",relu,0.0001,"(50, 50)",constant,500,adam,1652.4953989218893,40.6508966558167,11.215905970954744,0.9927712473828288
5,"MLPRegressor(activation='tanh', alpha=0.01, hidden_layer_sizes=(100, 50),
             learning_rate='adaptive', max_iter=500, random_state=42)",relu,0.0001,"(50, 50)",adaptive,500,adam,1652.4953989218893,40.6508966558167,11.215905970954744,0.9927712473828288
13,"MLPRegressor(activation='tanh', alpha=0.01, hidden_layer_sizes=(100, 50),
             learning_rate='adaptive', max_iter=500, random_state=42)",relu,0.001,"(50, 50)",adaptive,500,adam,1764.3413801792328,42.00406385314679,11.565977756216082,0.9922819831281376
12,"MLPRegressor(activation='tanh', alpha=0.01, hidden_layer_sizes=(100, 50),
             learning_rate='adaptive', max_iter=500, random_state=42)",relu,0.001,"(50, 50)",constant,500,adam,1764.3413801792328,42.00406385314679,11.565977756216082,0.9922819831281376
9,"MLPRegressor(activation='tanh', alpha=0.01, hidden_layer_sizes=(100, 50),
             learning_rate='adaptive', max_iter=500, random_state=42)",relu,0.001,"(50,)",adaptive,500,adam,2140.643379699006,46.267087434795435,12.786263758798805,0.9906358701854632
8,"MLPRegressor(activation='tanh', alpha=0.01, hidden_layer_sizes=(100, 50),
             learning_rate='adaptive', max_iter=500, random_state=42)",relu,0.001,"(50,)",constant,500,adam,2140.643379699006,46.267087434795435,12.786263758798805,0.9906358701854632
0,"MLPRegressor(activation='tanh', alpha=0.01, hidden_layer_sizes=(100, 50),
             learning_rate='adaptive', max_iter=500, random_state=42)",relu,0.0001,"(50,)",constant,500,adam,2199.205824805412,46.895690898049594,13.027687411246886,0.9903796919058704
1,"MLPRegressor(activation='tanh', alpha=0.01, hidden_layer_sizes=(100, 50),
             learning_rate='adaptive', max_iter=500, random_state=42)",relu,0.0001,"(50,)",adaptive,500,adam,2199.205824805412,46.895690898049594,13.027687411246886,0.9903796919058704
17,"MLPRegressor(activation='tanh', alpha=0.01, hidden_layer_sizes=(100, 50),
             learning_rate='adaptive', max_iter=500, random_state=42)",relu,0.01,"(50,)",adaptive,500,adam,2439.145690185893,49.38770788552444,13.991170742257232,0.9893300878156173
