,model,model__max_depth,model__max_features,model__min_samples_leaf,model__min_samples_split,model__n_estimators,mse,rmse,mae,r2
81,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",20.0,log2,1,2,100,1125.5625884994345,33.54940518845952,5.055826191937101,0.9950762867402151
54,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",20.0,sqrt,1,2,100,1125.5625884994345,33.54940518845952,5.055826191937101,0.9950762867402151
55,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",20.0,sqrt,1,2,200,1140.4220908940897,33.7701360804793,5.075810150809972,0.9950112846428445
82,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",20.0,log2,1,2,200,1140.4220908940897,33.7701360804793,5.075810150809972,0.9950112846428445
83,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",20.0,log2,1,2,300,1158.8243585765167,34.041509346333584,5.13580393814037,0.9949307849084682
56,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",20.0,sqrt,1,2,300,1158.8243585765167,34.041509346333584,5.13580393814037,0.9949307849084682
110,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",,sqrt,1,2,300,1192.359637227632,34.53056091678257,5.166671126088179,0.9947840866281129
137,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",,log2,1,2,300,1192.359637227632,34.53056091678257,5.166671126088179,0.9947840866281129
135,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",,log2,1,2,100,1208.708695514717,34.7664881101718,5.173353928619534,0.9947125685482695
108,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",,sqrt,1,2,100,1208.708695514717,34.7664881101718,5.173353928619534,0.9947125685482695
109,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",,sqrt,1,2,200,1209.6894218597452,34.780589728464136,5.1795162898322085,0.9947082784133995
