,model,model__C,model__epsilon,model__gamma,model__kernel,mse,rmse,mae,r2
12,"SVR(C=100, epsilon=0.5, gamma='auto')",10.0,0.1,scale,rbf,4920.464695803615,70.14602409120288,29.04782859686824,0.9784756907216235
18,"SVR(C=100, epsilon=0.5, gamma='auto')",100.0,0.1,scale,rbf,5968.0179136150155,77.25294760470318,30.94440820158491,0.9738932252758373
6,"SVR(C=100, epsilon=0.5, gamma='auto')",1.0,0.1,scale,rbf,6870.354612313392,82.88760228353449,30.44999740363344,0.9699460017153112
13,"SVR(C=100, epsilon=0.5, gamma='auto')",10.0,0.1,auto,rbf,7247.353127285958,85.13138743898139,30.732823348845752,0.968296841903093
19,"SVR(C=100, epsilon=0.5, gamma='auto')",100.0,0.1,auto,rbf,7452.810789973199,86.3296634417927,31.801964504219864,0.9673980783617013
7,"SVR(C=100, epsilon=0.5, gamma='auto')",1.0,0.1,auto,rbf,8733.891289379504,93.45529032312459,31.506363894882185,0.9617940603299828
1,"SVR(C=100, epsilon=0.5, gamma='auto')",0.1,0.1,auto,rbf,9662.556740100723,98.29830486890769,30.879208968530786,0.957731663053865
0,"SVR(C=100, epsilon=0.5, gamma='auto')",0.1,0.1,scale,rbf,9780.020701296966,98.89398718474732,31.942285667927845,0.9572178232468225
14,"SVR(C=100, epsilon=0.5, gamma='auto')",10.0,0.2,scale,rbf,11390.10721645085,106.72444526185578,41.600466660378906,0.9501745860203321
20,"SVR(C=100, epsilon=0.5, gamma='auto')",100.0,0.2,scale,rbf,11543.484868261441,107.44061088927893,42.12769193891893,0.9495036436971858
8,"SVR(C=100, epsilon=0.5, gamma='auto')",1.0,0.2,scale,rbf,12430.982047233274,111.49431396817182,42.65918913924555,0.9456213348209188
21,"SVR(C=100, epsilon=0.5, gamma='auto')",100.0,0.2,auto,rbf,14123.815956055745,118.84366182533986,46.53886934738319,0.9382161235526634
15,"SVR(C=100, epsilon=0.5, gamma='auto')",10.0,0.2,auto,rbf,14815.468470181897,121.71880902383944,44.17850122413596,0.9351905266735893
9,"SVR(C=100, epsilon=0.5, gamma='auto')",1.0,0.2,auto,rbf,17337.854070611094,131.67328533385614,46.38631640390378,0.924156485960064
2,"SVR(C=100, epsilon=0.5, gamma='auto')",0.1,0.2,scale,rbf,18512.28603793653,136.05986196500615,46.13105133610469,0.9190189962199823
3,"SVR(C=100, epsilon=0.5, gamma='auto')",0.1,0.2,auto,rbf,20263.08668961903,142.3484692212004,56.268746420109025,0.9113602125397059
10,"SVR(C=100, epsilon=0.5, gamma='auto')",1.0,0.5,scale,rbf,53613.429657626235,231.54573988226653,83.44689321243784,0.7654709234253012
22,"SVR(C=100, epsilon=0.5, gamma='auto')",100.0,0.5,scale,rbf,53630.05933529363,231.58164723331083,83.4429651293775,0.7653981777910083
16,"SVR(C=100, epsilon=0.5, gamma='auto')",10.0,0.5,scale,rbf,53630.05933529363,231.58164723331083,83.4429651293775,0.7653981777910083
4,"SVR(C=100, epsilon=0.5, gamma='auto')",0.1,0.5,scale,rbf,65820.95801721141,256.5559549439681,83.91911383285516,0.7120697444349602
23,"SVR(C=100, epsilon=0.5, gamma='auto')",100.0,0.5,auto,rbf,80617.57022226413,283.9323338795075,106.27280032683322,0.6473427568304411
17,"SVR(C=100, epsilon=0.5, gamma='auto')",10.0,0.5,auto,rbf,80617.57022226413,283.9323338795075,106.27280032683322,0.6473427568304411
11,"SVR(C=100, epsilon=0.5, gamma='auto')",1.0,0.5,auto,rbf,80739.40755912862,284.14680635039457,106.15935013620043,0.6468097859257699
5,"SVR(C=100, epsilon=0.5, gamma='auto')",0.1,0.5,auto,rbf,81021.13488527542,284.6421172020673,96.20677017601335,0.6455773848264743
