,model,model__criterion,model__max_depth,model__max_features,model__min_samples_leaf,model__min_samples_split,model__n_estimators,f1
0,"RandomForestClassifier(criterion='entropy', max_features='log2',
                       min_samples_leaf=4, min_samples_split=5,
                       n_estimators=200, random_state=42)",gini,20.0,sqrt,1,2,100,0.2341312225319506
1,"RandomForestClassifier(criterion='entropy', max_features='log2',
                       min_samples_leaf=4, min_samples_split=5,
                       n_estimators=200, random_state=42)",gini,20.0,sqrt,1,2,200,0.23559205821487944
2,"RandomForestClassifier(criterion='entropy', max_features='log2',
                       min_samples_leaf=4, min_samples_split=5,
                       n_estimators=200, random_state=42)",gini,20.0,sqrt,1,5,100,0.23391875558551728
3,"RandomForestClassifier(criterion='entropy', max_features='log2',
                       min_samples_leaf=4, min_samples_split=5,
                       n_estimators=200, random_state=42)",gini,20.0,sqrt,1,5,200,0.23345818623443504
4,"RandomForestClassifier(criterion='entropy', max_features='log2',
                       min_samples_leaf=4, min_samples_split=5,
                       n_estimators=200, random_state=42)",gini,20.0,sqrt,4,2,100,0.23063509750107108
5,"RandomForestClassifier(criterion='entropy', max_features='log2',
                       min_samples_leaf=4, min_samples_split=5,
                       n_estimators=200, random_state=42)",gini,20.0,sqrt,4,2,200,0.23122416461518056
6,"RandomForestClassifier(criterion='entropy', max_features='log2',
                       min_samples_leaf=4, min_samples_split=5,
                       n_estimators=200, random_state=42)",gini,20.0,sqrt,4,5,100,0.23063509750107108
7,"RandomForestClassifier(criterion='entropy', max_features='log2',
                       min_samples_leaf=4, min_samples_split=5,
                       n_estimators=200, random_state=42)",gini,20.0,sqrt,4,5,200,0.23122416461518056
8,"RandomForestClassifier(criterion='entropy', max_features='log2',
                       min_samples_leaf=4, min_samples_split=5,
                       n_estimators=200, random_state=42)",gini,20.0,log2,1,2,100,0.16835362521998673
9,"RandomForestClassifier(criterion='entropy', max_features='log2',
                       min_samples_leaf=4, min_samples_split=5,
                       n_estimators=200, random_state=42)",gini,20.0,log2,1,2,200,0.1671909212687913
10,"RandomForestClassifier(criterion='entropy', max_features='log2',
                       min_samples_leaf=4, min_samples_split=5,
                       n_estimators=200, random_state=42)",gini,20.0,log2,1,5,100,0.1668688378876652
11,"RandomForestClassifier(criterion='entropy', max_features='log2',
                       min_samples_leaf=4, min_samples_split=5,
                       n_estimators=200, random_state=42)",gini,20.0,log2,1,5,200,0.16609325106337772
12,"RandomForestClassifier(criterion='entropy', max_features='log2',
                       min_samples_leaf=4, min_samples_split=5,
                       n_estimators=200, random_state=42)",gini,20.0,log2,4,2,100,0.16784992401900767
