tokenizer,remove_stopwords,max_features,f1
split,True,1500,0.29803907577761274
split,True,2000,0.2984763696013432
split,True,2500,0.29769880711589697
split,True,3000,0.30150407007468244
split,False,1500,0.2947131575581157
split,False,2000,0.2957720581284175
split,False,2500,0.291407942812653
split,False,3000,0.29318875342729006
nltk,True,1500,0.2972785841247304
nltk,True,2000,0.3002886605035425
nltk,True,2500,0.2969900202135476
nltk,True,3000,0.29594568635604995
nltk,False,1500,0.29784129130392967
nltk,False,2000,0.2903768635365683
nltk,False,2500,0.2927602285299285
nltk,False,3000,0.2917184475732003
