,precision,recall,f1-score,support
0,0.8687258687258688,0.9,0.8840864440078585,250.0
1,0.6064981949458483,0.6153846153846154,0.610909090909091,273.0
2,0.8248175182481752,0.7902097902097902,0.8071428571428572,286.0
3,0.6607142857142857,0.6851851851851852,0.6727272727272727,270.0
4,0.7374517374517374,0.7431906614785992,0.7403100775193798,257.0
5,0.9116719242902208,0.8975155279503105,0.9045383411580594,322.0
6,0.8513513513513513,0.8289473684210527,0.84,304.0
accuracy,0.7828746177370031,0.7828746177370031,0.7828746177370031,0.7828746177370031
macro avg,0.7801758401039268,0.7800618783756504,0.7799591547806456,1962.0
weighted avg,0.7843732970035053,0.7828746177370031,0.7834658763377894,1962.0
