,precision,recall,f1-score,support
0,0.8647540983606558,0.844,0.854251012145749,250.0
1,0.5666666666666667,0.4981684981684982,0.530214424951267,273.0
2,0.7935943060498221,0.7797202797202797,0.7865961199294532,286.0
3,0.6200716845878136,0.6407407407407407,0.6302367941712204,270.0
4,0.721030042918455,0.6536964980544747,0.6857142857142857,257.0
5,0.8181818181818182,0.922360248447205,0.8671532846715329,322.0
6,0.7701863354037267,0.8157894736842105,0.792332268370607,304.0
accuracy,0.7420998980632009,0.7420998980632009,0.7420998980632009,0.7420998980632009
macro avg,0.736354993166994,0.7363536769736297,0.7352140271363021,1962.0
weighted avg,0.7381099711551702,0.7420998980632009,0.7389208228601711,1962.0
