,precision,recall,f1-score,support
0,0.9349593495934959,0.92,0.9274193548387096,250.0
1,0.6956521739130435,0.7032967032967034,0.6994535519125683,273.0
2,0.8422939068100358,0.8216783216783217,0.831858407079646,286.0
3,0.7593984962406015,0.7481481481481481,0.753731343283582,270.0
4,0.7535211267605634,0.8326848249027238,0.7911275415896488,257.0
5,0.9195046439628483,0.922360248447205,0.9209302325581395,322.0
6,0.8958333333333334,0.8486842105263158,0.8716216216216216,304.0
accuracy,0.8297655453618756,0.8297655453618756,0.8297655453618756,0.8297655453618756
macro avg,0.8287375758019888,0.8281217795713455,0.828020293269131,1962.0
weighted avg,0.8316285884179934,0.8297655453618756,0.8303042362580979,1962.0
